candidacy_id,person_id,candidate_full_name,candidacy_status,incumbent_status,contest_id,contest_label,office_id,office_name,election_id,election_date,primary_source_record_id
cand-wb020-175c9f6fe9757261ccacb55a496656adcfe3a14d90f42750da2e9c594625e052,per-wb020-175c9f6fe9757261ccacb55a496656adcfe3a14d90f42750da2e9c594625e052,Natalie Howard,Filed,Unknown,con-wb020-16124280a62bf3c3b0ebfc25a536c04036b9c65ba22123e2ea750f820fb70685,Mayor | 2026-05-02 General,off-wb020-29a7bd9c5b845012ee59b31dfbce54ffa17787be29daf38ab49c7957bfd8c9ce,Mayor,elec-wb020-b620905a2746c4e9284edd35f6a024044488ba00ead2f19b938f833175d21b2d,2026-05-02,sr-wb020-175c9f6fe9757261ccacb55a496656adcfe3a14d90f42750da2e9c594625e052
cand-wb020-3d3fd4c430608888548e07da73b62a4a00de0cbef5b52b2900639770b8b0af7f,per-wb020-3d3fd4c430608888548e07da73b62a4a00de0cbef5b52b2900639770b8b0af7f,Chase Fleming,Filed,Unknown,con-wb020-41ddab4462f2ecaf3f7c004d32df6ebf47dd2ea59832f83b373f2c854c3a930b,City Council — At-Large | 2026-05-02 General,off-wb020-fe6717a8df5acd92b8f6f30319f20bdb06478d183cf33c1f17333ba0482b08d7,City Council,elec-wb020-b620905a2746c4e9284edd35f6a024044488ba00ead2f19b938f833175d21b2d,2026-05-02,sr-wb020-3d3fd4c430608888548e07da73b62a4a00de0cbef5b52b2900639770b8b0af7f
cand-wb020-9f9bf689afe469f42cd2e02fc4665f2f368ae326f3aadcf141fb49f4e18a96a8,per-wb020-9f9bf689afe469f42cd2e02fc4665f2f368ae326f3aadcf141fb49f4e18a96a8,Brandon Corley,Filed,Unknown,con-wb020-16124280a62bf3c3b0ebfc25a536c04036b9c65ba22123e2ea750f820fb70685,Mayor | 2026-05-02 General,off-wb020-29a7bd9c5b845012ee59b31dfbce54ffa17787be29daf38ab49c7957bfd8c9ce,Mayor,elec-wb020-b620905a2746c4e9284edd35f6a024044488ba00ead2f19b938f833175d21b2d,2026-05-02,sr-wb020-9f9bf689afe469f42cd2e02fc4665f2f368ae326f3aadcf141fb49f4e18a96a8
cand-wb020-b9e338fdfa8e109665cdd045ae34bfb7fdd21c4be0abeb6376e3f80d06362c3c,per-wb020-b9e338fdfa8e109665cdd045ae34bfb7fdd21c4be0abeb6376e3f80d06362c3c,Maria Fraire,Filed,Unknown,con-wb020-41ddab4462f2ecaf3f7c004d32df6ebf47dd2ea59832f83b373f2c854c3a930b,City Council — At-Large | 2026-05-02 General,off-wb020-fe6717a8df5acd92b8f6f30319f20bdb06478d183cf33c1f17333ba0482b08d7,City Council,elec-wb020-b620905a2746c4e9284edd35f6a024044488ba00ead2f19b938f833175d21b2d,2026-05-02,sr-wb020-b9e338fdfa8e109665cdd045ae34bfb7fdd21c4be0abeb6376e3f80d06362c3c
