crosswalk_id,entity_id,entity_type,external_id,external_url,id_type,jurisdiction_id,notes,source_id,status,system,verified_at
xwalk-co-alma-geoid,jurisdiction-co-alma,Jurisdiction,0801530,https://tigerweb.geo.census.gov/tigerwebmain/Files/acs25/tigerweb_acs25_incplace_co.html,GEOID,jurisdiction-co-alma,Seven-digit incorporated-place GEOID.,src-co-alma-census-incplace-2025,VERIFIED,US_CENSUS,2026-08-19
xwalk-co-alma-placefp,jurisdiction-co-alma,Jurisdiction,01530,https://tigerweb.geo.census.gov/tigerwebmain/Files/acs25/tigerweb_acs25_incplace_co.html,PLACEFP,jurisdiction-co-alma,Five-character Census place code.,src-co-alma-census-incplace-2025,VERIFIED,US_CENSUS,2026-08-19
