candidacy_id,person_id,candidate_full_name,candidacy_status,incumbent_status,contest_id,contest_label,office_id,office_name,election_id,election_date,primary_source_record_id
cand-wb020-03744a229ed44ffb61903b1cd07b199c1c240aef123def5805c3bdf970aa2962,per-wb020-03744a229ed44ffb61903b1cd07b199c1c240aef123def5805c3bdf970aa2962,Terry Taliaferro,Filed,Unknown,con-wb020-afb326b519722453f2effc669b31979659a76bd82a04860cb8ac5d653fd6463c,Mayor | 2026-05-02 General,off-wb020-111c50fe160efb45f69a66a02e9ad4c04d7979b9dba42d62a2239dc3aa6d8d45,Mayor,elec-wb020-2618d02a2ebd03bf85ed63312d5c4f03ace16a65dc3a0b329aebeb4bce7f6543,2026-05-02,sr-wb020-03744a229ed44ffb61903b1cd07b199c1c240aef123def5805c3bdf970aa2962
cand-wb020-2d6d422ae116ec2a6b2bb6c50b9ccdce36300faa326308d17c69e9a6542b3dfe,per-wb020-2d6d422ae116ec2a6b2bb6c50b9ccdce36300faa326308d17c69e9a6542b3dfe,Angela Robertson,Filed,Unknown,con-wb020-0cafd1167cc71d95513ae634681f9bc362af9f189604c1fa9cf8ddabb15b0057,Alderman — At-Large | 2026-05-02 General,off-wb020-cb53a2d65140e744d9b9124b6d1eedae7f997b4c127f9de3f3b54396b6afcb1e,Alderman,elec-wb020-2618d02a2ebd03bf85ed63312d5c4f03ace16a65dc3a0b329aebeb4bce7f6543,2026-05-02,sr-wb020-2d6d422ae116ec2a6b2bb6c50b9ccdce36300faa326308d17c69e9a6542b3dfe
cand-wb020-337aef1800ddd7c7cb1e552a9377b8d6c6ba8fef63ed6f3d89bf4365dba75eae,per-wb020-337aef1800ddd7c7cb1e552a9377b8d6c6ba8fef63ed6f3d89bf4365dba75eae,Phil Novak,Filed,Unknown,con-wb020-0cafd1167cc71d95513ae634681f9bc362af9f189604c1fa9cf8ddabb15b0057,Alderman — At-Large | 2026-05-02 General,off-wb020-cb53a2d65140e744d9b9124b6d1eedae7f997b4c127f9de3f3b54396b6afcb1e,Alderman,elec-wb020-2618d02a2ebd03bf85ed63312d5c4f03ace16a65dc3a0b329aebeb4bce7f6543,2026-05-02,sr-wb020-337aef1800ddd7c7cb1e552a9377b8d6c6ba8fef63ed6f3d89bf4365dba75eae
cand-wb020-55e75b35f59617509b8b886d27fae80b1586c5e1213d21ea9f02c9d9814f7d4c,per-wb020-55e75b35f59617509b8b886d27fae80b1586c5e1213d21ea9f02c9d9814f7d4c,Caleb Ramsey,Filed,Unknown,con-wb020-afb326b519722453f2effc669b31979659a76bd82a04860cb8ac5d653fd6463c,Mayor | 2026-05-02 General,off-wb020-111c50fe160efb45f69a66a02e9ad4c04d7979b9dba42d62a2239dc3aa6d8d45,Mayor,elec-wb020-2618d02a2ebd03bf85ed63312d5c4f03ace16a65dc3a0b329aebeb4bce7f6543,2026-05-02,sr-wb020-55e75b35f59617509b8b886d27fae80b1586c5e1213d21ea9f02c9d9814f7d4c
cand-wb020-5d1a1eaa32b7345271c4f31e700230dacc6e117f94125d394059c47dfe559960,per-wb020-5d1a1eaa32b7345271c4f31e700230dacc6e117f94125d394059c47dfe559960,Frankie Ornduff,Filed,Unknown,con-wb020-0cafd1167cc71d95513ae634681f9bc362af9f189604c1fa9cf8ddabb15b0057,Alderman — At-Large | 2026-05-02 General,off-wb020-cb53a2d65140e744d9b9124b6d1eedae7f997b4c127f9de3f3b54396b6afcb1e,Alderman,elec-wb020-2618d02a2ebd03bf85ed63312d5c4f03ace16a65dc3a0b329aebeb4bce7f6543,2026-05-02,sr-wb020-5d1a1eaa32b7345271c4f31e700230dacc6e117f94125d394059c47dfe559960
