crosswalk_id,entity_id,entity_type,external_id,external_url,id_type,jurisdiction_id,notes,source_id,status,system,verified_at
xwalk-co-alamosa-geoid,jurisdiction-co-alamosa,Jurisdiction,0801090,https://tigerweb.geo.census.gov/tigerwebmain/Files/acs25/tigerweb_acs25_incplace_co.html,GEOID,jurisdiction-co-alamosa,Seven-digit incorporated-place GEOID.,src-co-alamosa-census-incplace-2025,VERIFIED,US_CENSUS,2026-08-19
xwalk-co-alamosa-placefp,jurisdiction-co-alamosa,Jurisdiction,01090,https://tigerweb.geo.census.gov/tigerwebmain/Files/acs25/tigerweb_acs25_incplace_co.html,PLACEFP,jurisdiction-co-alamosa,Five-character Census place code.,src-co-alamosa-census-incplace-2025,VERIFIED,US_CENSUS,2026-08-19
xwalk-co-alamosa-ward-1,division-co-alamosa-ward-1,Division,1,https://www.alamosacounty.org/166/Elections-Department,WARD_NUMBER,jurisdiction-co-alamosa,Official representation key from City of Alamosa Wards map.,src-co-alamosa-county-elections,VERIFIED,CITY_OF_ALAMOSA_WARD_MAP,2026-08-19
xwalk-co-alamosa-ward-2,division-co-alamosa-ward-2,Division,2,https://www.alamosacounty.org/166/Elections-Department,WARD_NUMBER,jurisdiction-co-alamosa,Official representation key from City of Alamosa Wards map.,src-co-alamosa-county-elections,VERIFIED,CITY_OF_ALAMOSA_WARD_MAP,2026-08-19
xwalk-co-alamosa-ward-3,division-co-alamosa-ward-3,Division,3,https://www.alamosacounty.org/166/Elections-Department,WARD_NUMBER,jurisdiction-co-alamosa,Official representation key from City of Alamosa Wards map.,src-co-alamosa-county-elections,VERIFIED,CITY_OF_ALAMOSA_WARD_MAP,2026-08-19
xwalk-co-alamosa-ward-4,division-co-alamosa-ward-4,Division,4,https://www.alamosacounty.org/166/Elections-Department,WARD_NUMBER,jurisdiction-co-alamosa,Official representation key from City of Alamosa Wards map.,src-co-alamosa-county-elections,VERIFIED,CITY_OF_ALAMOSA_WARD_MAP,2026-08-19
