contest_id,contest_label,contest_status,expected_seats,candidate_count,office_id,office_name,election_id,election_date
con-wb020-1245a038ecd5022f35759f9ac115cad8bf6e301f580a052ca272c9ba41290be8,City Council — Ward II | 2026-11-03 General,unknown,1,1,off-wb020-d05c06420b7e5f0ad8e9f4a44718a3156e3b2c2612e1b139e9a6f3d06945ae9a,City Council,elec-wb020-d1ed5a3554dee86de8483a5434ca53e973eb4f45adc36be0012b2467dfb899e2,2026-11-03
con-wb020-33cb2fe72a40e6eeca3f0aa5fdc7b87c7ddd83681ea162d23a40e77b5b4bc437,Mayor — Citywide | 2026-11-03 General,unknown,1,4,off-wb020-90982a2be84705b630f4cafafe427c5e1405cbdf62f2056210f9b7c04ac8687f,Mayor,elec-wb020-d1ed5a3554dee86de8483a5434ca53e973eb4f45adc36be0012b2467dfb899e2,2026-11-03
con-wb020-8f82e861178ff1ffa3c30cbb334c057f219bdb99f73fb5bba1e966d35aaf3fd3,City Council — Place 3 | 2026-11-03 General,unknown,1,1,off-wb020-c0a980cf31509a316413460ee4009dcaf2c034ab76a4eafab3a10666ba361ba6,City Council,elec-wb020-d1ed5a3554dee86de8483a5434ca53e973eb4f45adc36be0012b2467dfb899e2,2026-11-03
con-wb020-96f10d7b38a1fb2eb9cb7cf2ab1d30ab5c1417874df75dbe33918fe8034364e7,City Council — Place I | 2026-11-03 General,unknown,1,2,off-wb020-87364009b090539327a9cffc4e3d366301ffa3dba65334c82bb50bce9d4ea163,City Council,elec-wb020-d1ed5a3554dee86de8483a5434ca53e973eb4f45adc36be0012b2467dfb899e2,2026-11-03
