candidacy_id,person_id,candidate_full_name,candidacy_status,incumbent_status,contest_id,contest_label,office_id,office_name,election_id,election_date,primary_source_record_id
cand-wb020-1dbace0d27b5c55348e6d543694818955f09d4b9246e1eabb1aecd9192dd5756,per-wb020-1dbace0d27b5c55348e6d543694818955f09d4b9246e1eabb1aecd9192dd5756,Bob Chapman,Filed,Unknown,con-wb020-8f82e861178ff1ffa3c30cbb334c057f219bdb99f73fb5bba1e966d35aaf3fd3,City Council — Place 3 | 2026-11-03 General,off-wb020-c0a980cf31509a316413460ee4009dcaf2c034ab76a4eafab3a10666ba361ba6,City Council,elec-wb020-d1ed5a3554dee86de8483a5434ca53e973eb4f45adc36be0012b2467dfb899e2,2026-11-03,sr-wb020-1dbace0d27b5c55348e6d543694818955f09d4b9246e1eabb1aecd9192dd5756
cand-wb020-4fa35bd91699ac11b80fc2a2ccf45fe3147e9d0fb27c1bcfdbf083ca1d8f8c2b,per-wb020-4fa35bd91699ac11b80fc2a2ccf45fe3147e9d0fb27c1bcfdbf083ca1d8f8c2b,Phillip Jackson,Filed,Unknown,con-wb020-33cb2fe72a40e6eeca3f0aa5fdc7b87c7ddd83681ea162d23a40e77b5b4bc437,Mayor — Citywide | 2026-11-03 General,off-wb020-90982a2be84705b630f4cafafe427c5e1405cbdf62f2056210f9b7c04ac8687f,Mayor,elec-wb020-d1ed5a3554dee86de8483a5434ca53e973eb4f45adc36be0012b2467dfb899e2,2026-11-03,sr-wb020-4fa35bd91699ac11b80fc2a2ccf45fe3147e9d0fb27c1bcfdbf083ca1d8f8c2b
cand-wb020-948f60bdd3f05d481f3dae77835768b1ad0e6b0f78f3f5705488e3740b1fc508,per-wb020-948f60bdd3f05d481f3dae77835768b1ad0e6b0f78f3f5705488e3740b1fc508,Samantha Gillin,Filed,Unknown,con-wb020-33cb2fe72a40e6eeca3f0aa5fdc7b87c7ddd83681ea162d23a40e77b5b4bc437,Mayor — Citywide | 2026-11-03 General,off-wb020-90982a2be84705b630f4cafafe427c5e1405cbdf62f2056210f9b7c04ac8687f,Mayor,elec-wb020-d1ed5a3554dee86de8483a5434ca53e973eb4f45adc36be0012b2467dfb899e2,2026-11-03,sr-wb020-948f60bdd3f05d481f3dae77835768b1ad0e6b0f78f3f5705488e3740b1fc508
cand-wb020-99faaf2a0251a1382cfdd8de3702edef8a9bda60fed340483b250f1fcca20b52,per-wb020-99faaf2a0251a1382cfdd8de3702edef8a9bda60fed340483b250f1fcca20b52,Rob Foster,Filed,Unknown,con-wb020-33cb2fe72a40e6eeca3f0aa5fdc7b87c7ddd83681ea162d23a40e77b5b4bc437,Mayor — Citywide | 2026-11-03 General,off-wb020-90982a2be84705b630f4cafafe427c5e1405cbdf62f2056210f9b7c04ac8687f,Mayor,elec-wb020-d1ed5a3554dee86de8483a5434ca53e973eb4f45adc36be0012b2467dfb899e2,2026-11-03,sr-wb020-99faaf2a0251a1382cfdd8de3702edef8a9bda60fed340483b250f1fcca20b52
cand-wb020-b1ab05fa029c810a3aaefd3f0fcaf779d2f2341d49a3232a699de4151bdfe0be,per-wb020-b1ab05fa029c810a3aaefd3f0fcaf779d2f2341d49a3232a699de4151bdfe0be,Crissy Barajas,Filed,Unknown,con-wb020-96f10d7b38a1fb2eb9cb7cf2ab1d30ab5c1417874df75dbe33918fe8034364e7,City Council — Place I | 2026-11-03 General,off-wb020-87364009b090539327a9cffc4e3d366301ffa3dba65334c82bb50bce9d4ea163,City Council,elec-wb020-d1ed5a3554dee86de8483a5434ca53e973eb4f45adc36be0012b2467dfb899e2,2026-11-03,sr-wb020-b1ab05fa029c810a3aaefd3f0fcaf779d2f2341d49a3232a699de4151bdfe0be
cand-wb020-bd7ddf76a8d9b26f1ecb251e3191c0eaca6111d3ad25bc6752e57fd914c6f3d7,per-wb020-bd7ddf76a8d9b26f1ecb251e3191c0eaca6111d3ad25bc6752e57fd914c6f3d7,Johnny R. Shaw,Filed,Unknown,con-wb020-1245a038ecd5022f35759f9ac115cad8bf6e301f580a052ca272c9ba41290be8,City Council — Ward II | 2026-11-03 General,off-wb020-d05c06420b7e5f0ad8e9f4a44718a3156e3b2c2612e1b139e9a6f3d06945ae9a,City Council,elec-wb020-d1ed5a3554dee86de8483a5434ca53e973eb4f45adc36be0012b2467dfb899e2,2026-11-03,sr-wb020-bd7ddf76a8d9b26f1ecb251e3191c0eaca6111d3ad25bc6752e57fd914c6f3d7
cand-wb020-ca3d96567df655ae4e4ebc90461576c876a0e1456bf9eac0d025a22f5e7e3303,per-wb020-ca3d96567df655ae4e4ebc90461576c876a0e1456bf9eac0d025a22f5e7e3303,Johanna Franco Penick,Filed,Unknown,con-wb020-33cb2fe72a40e6eeca3f0aa5fdc7b87c7ddd83681ea162d23a40e77b5b4bc437,Mayor — Citywide | 2026-11-03 General,off-wb020-90982a2be84705b630f4cafafe427c5e1405cbdf62f2056210f9b7c04ac8687f,Mayor,elec-wb020-d1ed5a3554dee86de8483a5434ca53e973eb4f45adc36be0012b2467dfb899e2,2026-11-03,sr-wb020-ca3d96567df655ae4e4ebc90461576c876a0e1456bf9eac0d025a22f5e7e3303
cand-wb020-dc37136b9f512424fdb900f7094f5d793577824653ff1eaf10756f66169ba006,per-wb020-dc37136b9f512424fdb900f7094f5d793577824653ff1eaf10756f66169ba006,Troy Smith,Filed,Unknown,con-wb020-96f10d7b38a1fb2eb9cb7cf2ab1d30ab5c1417874df75dbe33918fe8034364e7,City Council — Place I | 2026-11-03 General,off-wb020-87364009b090539327a9cffc4e3d366301ffa3dba65334c82bb50bce9d4ea163,City Council,elec-wb020-d1ed5a3554dee86de8483a5434ca53e973eb4f45adc36be0012b2467dfb899e2,2026-11-03,sr-wb020-dc37136b9f512424fdb900f7094f5d793577824653ff1eaf10756f66169ba006
